Variable	F	uncorrected_p-val	BH_corrected_p-val	-log10(BH_cor_p-val)
Alcohol	2.71344011257	0.101290450084	0.119706895554	0.921880831926
Malic_acid	46.9143181194	1.19464078876e-10	2.2186186077e-10	9.65391734888
Ash	1.81597017897	0.179525865659	0.179525865659	0.745872970464
Alcalinity_of_ash	26.214573987	7.95686304321e-07	1.1493246618e-06	5.93955727426
Magnesium	1.92812889524	0.166718122866	0.179525865659	0.745872970464
Total_phenols	231.451710442	6.57585978299e-34	2.8495392393e-33	32.5452253582
Flavanoids	371.485831487	3.08983039926e-45	2.00838975952e-44	43.6971520017
Nonflavanoid_phenols	104.703077592	1.40625580302e-19	4.57033135981e-19	18.3400523114
Proanthocyanins	89.4076344834	2.04593795567e-17	4.43286557062e-17	16.3533154387
Color_intensity	24.3099257939	1.88650260318e-06	2.45245338414e-06	5.61039923887
Hue	97.8276928451	1.27319819455e-18	3.31031530583e-18	17.4801306379
OD280_OD315_of_diluted_wines	413.563768833	4.4971178885e-48	5.84625325505e-47	46.2331223753
Proline	30.9682150538	9.63254033804e-08	1.56528780493e-07	6.80540579831
