features	chi_statistic	uncorrected_p_value	BH_corrected_p_value
oral_steroids	937.3114754098364	2.5029518044036097e-158	1.501771082642166e-157
antbx_last	1200.035143769968	2.5175683996652416e-212	3.02108207959829e-211
asthma_doctor	209.25396825396828	4.873539049005214e-34	8.354638369723222e-34
sx_age_start 	342.2147239263804	1.3620487345962942e-45	2.7240974691925884e-45
ed_asth 	375.03669724770634	1.640956625308637e-56	3.938295900740729e-56
hosp_asth	67.47953216374268	2.4011363127400143e-07	2.4011363127400143e-07
hosp_overnight	208.6428571428571	4.3435670775522756e-29	6.515350616328413e-29
sx_week	138.54761904761907	1.7506337295753086e-10	2.10076047549037e-10
freq_asth_sx  	159.3012048192771	3.467214117806897e-24	4.622952157075862e-24
wake_6mo	85.08433734939759	2.4342251829767184e-10	2.655518381429147e-10
wake_4wk	893.6623794212221	1.3967543601448797e-155	5.587017440579519e-155
asthma_control_4wk	686.0	3.522007043755907e-113	1.056602113126772e-112
