Variable	F	uncorrected_p-val	BH_corrected_p-val	-log10(BH_cor_p-val)
Alcohol	2.71344004488	0.101290454311	0.119706900549	0.921880813803
Malic_acid	46.9143182305	1.19464073533e-10	2.21861850847e-10	9.6539173683
Ash	1.81597011178	0.179525873666	0.179525873666	0.745872951094
Alcalinity_of_ash	26.2145739172	7.95686329334e-07	1.14932469793e-06	5.93955726061
Magnesium	1.92812898586	0.166718112953	0.179525873666	0.745872951094
Total_phenols	231.451706747	6.57586505291e-34	2.84954152293e-33	32.5452250102
Flavanoids	371.485831861	3.08983021308e-45	2.0083896385e-44	43.6971520279
Nonflavanoid_phenols	104.703079834	1.40625480521e-19	4.57032811694e-19	18.3400526196
Proanthocyanins	89.407634999	2.04593760213e-17	4.43286480461e-17	16.3533155138
Color_intensity	24.3099263477	1.88650212685e-06	2.45245276491e-06	5.61039934853
Hue	97.8276906641	1.27319909581e-18	3.31031764911e-18	17.4801303305
OD280_OD315_of_diluted_wines	413.563791217	4.49710282739e-48	5.8462336756e-47	46.2331238298
Proline	30.9682147932	9.63254143758e-08	1.56528798361e-07	6.80540574873
