	method	iter	TP	FP	FN	TN	accuracy	recall	precision	specificity	F1
0	random	0	2.0	187.0	198.0	9813.0	0.9622549019607843	0.01	0.010582010582010581	0.9813	0.010282776349614395
1	MANAclust	0	189.0	0.0	11.0	10000.0	0.998921568627451	0.945	1.0	1.0	0.9717223650385605
2	random	1	6.0	189.0	194.0	9811.0	0.9624509803921568	0.03	0.03076923076923077	0.9811	0.030379746835443037
3	MANAclust	1	195.0	0.0	5.0	10000.0	0.9995098039215686	0.975	1.0	1.0	0.9873417721518987
4	random	2	3.0	185.0	197.0	9815.0	0.9625490196078431	0.015	0.015957446808510637	0.9815	0.015463917525773195
5	MANAclust	2	188.0	0.0	12.0	10000.0	0.9988235294117647	0.94	1.0	1.0	0.9690721649484536
6	random	3	5.0	190.0	195.0	9810.0	0.9622549019607843	0.025	0.02564102564102564	0.981	0.02531645569620253
7	MANAclust	3	195.0	0.0	5.0	10000.0	0.9995098039215686	0.975	1.0	1.0	0.9873417721518987
8	random	4	2.0	190.0	198.0	9810.0	0.9619607843137254	0.01	0.010416666666666666	0.981	0.01020408163265306
9	MANAclust	4	192.0	0.0	8.0	10000.0	0.9992156862745099	0.96	1.0	1.0	0.9795918367346939
10	random	5	3.0	191.0	197.0	9809.0	0.9619607843137254	0.015	0.015463917525773196	0.9809	0.015228426395939085
11	MANAclust	5	194.0	0.0	6.0	10000.0	0.9994117647058823	0.97	1.0	1.0	0.9847715736040609
12	random	6	4.0	184.0	196.0	9816.0	0.9627450980392157	0.02	0.02127659574468085	0.9816	0.020618556701030927
13	MANAclust	6	188.0	0.0	12.0	10000.0	0.9988235294117647	0.94	1.0	1.0	0.9690721649484536
14	random	7	1.0	189.0	199.0	9811.0	0.9619607843137254	0.005	0.005263157894736842	0.9811	0.005128205128205128
15	MANAclust	7	190.0	0.0	10.0	10000.0	0.9990196078431373	0.95	1.0	1.0	0.9743589743589743
16	random	8	2.0	189.0	198.0	9811.0	0.9620588235294117	0.01	0.010471204188481676	0.9811	0.010230179028132993
17	MANAclust	8	191.0	0.0	9.0	10000.0	0.9991176470588236	0.955	1.0	1.0	0.9769820971867007
18	random	9	6.0	188.0	194.0	9812.0	0.9625490196078431	0.03	0.030927835051546393	0.9812	0.03045685279187817
19	MANAclust	9	194.0	0.0	6.0	10000.0	0.9994117647058823	0.97	1.0	1.0	0.9847715736040609
