	method	iter	TP	FP	FN	TN	accuracy	recall	precision	specificity	F1
0	random	0	0.0	15.0	15.0	135.0	0.8181818181818182	0.0	0.0	0.9	0.0
1	MANAclust	0	15.0	0.0	0.0	150.0	1.0	1.0	1.0	1.0	1.0
2	random	1	2.0	13.0	13.0	137.0	0.8424242424242424	0.13333333333333333	0.13333333333333333	0.9133333333333333	0.13333333333333333
3	MANAclust	1	15.0	0.0	0.0	150.0	1.0	1.0	1.0	1.0	1.0
4	random	2	2.0	13.0	13.0	137.0	0.8424242424242424	0.13333333333333333	0.13333333333333333	0.9133333333333333	0.13333333333333333
5	MANAclust	2	15.0	0.0	0.0	150.0	1.0	1.0	1.0	1.0	1.0
6	random	3	1.0	14.0	14.0	136.0	0.8303030303030303	0.06666666666666667	0.06666666666666667	0.9066666666666666	0.06666666666666667
7	MANAclust	3	15.0	0.0	0.0	150.0	1.0	1.0	1.0	1.0	1.0
8	random	4	0.0	15.0	15.0	135.0	0.8181818181818182	0.0	0.0	0.9	0.0
9	MANAclust	4	15.0	0.0	0.0	150.0	1.0	1.0	1.0	1.0	1.0
10	random	5	1.0	14.0	14.0	136.0	0.8303030303030303	0.06666666666666667	0.06666666666666667	0.9066666666666666	0.06666666666666667
11	MANAclust	5	15.0	0.0	0.0	150.0	1.0	1.0	1.0	1.0	1.0
12	random	6	2.0	13.0	13.0	137.0	0.8424242424242424	0.13333333333333333	0.13333333333333333	0.9133333333333333	0.13333333333333333
13	MANAclust	6	15.0	0.0	0.0	150.0	1.0	1.0	1.0	1.0	1.0
14	random	7	1.0	14.0	14.0	136.0	0.8303030303030303	0.06666666666666667	0.06666666666666667	0.9066666666666666	0.06666666666666667
15	MANAclust	7	15.0	0.0	0.0	150.0	1.0	1.0	1.0	1.0	1.0
16	random	8	1.0	14.0	14.0	136.0	0.8303030303030303	0.06666666666666667	0.06666666666666667	0.9066666666666666	0.06666666666666667
17	MANAclust	8	15.0	0.0	0.0	150.0	1.0	1.0	1.0	1.0	1.0
18	random	9	0.0	15.0	15.0	135.0	0.8181818181818182	0.0	0.0	0.9	0.0
19	MANAclust	9	15.0	0.0	0.0	150.0	1.0	1.0	1.0	1.0	1.0
