	iter	method	mutual information	purity
0	0	full dataset	1.2677719684520574	0.189
1	1	full dataset	1.2621056502856396	0.174
2	2	full dataset	1.1833519535600965	0.17
3	3	full dataset	1.3653339429777895	0.21
4	4	full dataset	1.1725368858217027	0.192
5	5	full dataset	1.2150411314684284	0.182
6	6	full dataset	1.3243500995080315	0.186
7	7	full dataset	1.2321059289918475	0.189
8	8	full dataset	1.2965077209511648	0.182
9	9	full dataset	1.2342381003975869	0.202
10	0	feature selection	2.8744807415303306	0.998
11	1	feature selection	2.873608156351814	0.998
12	2	feature selection	2.8748951058625956	0.999
13	3	feature selection	2.878808583418653	0.999
14	4	feature selection	2.8668345764813634	0.996
15	5	feature selection	2.8666271220467814	0.997
16	6	feature selection	2.8665195795316576	0.997
17	7	feature selection	2.874530568592298	0.998
18	8	feature selection	2.8590587632723348	0.996
19	9	feature selection	2.8716026304042455	0.998
