features	chi_statistic	uncorrected_p_value	BH_corrected_p_value
oral_steroids	1119.5304347826086	1.2455794560175794e-199	7.473476736105476e-199
antbx_last	1591.0	4.010057877581188e-298	4.812069453097426e-297
asthma_doctor	148.64119601328906	4.514319305912911e-23	6.01909240788388e-23
sx_age_start 	391.3020134228189	3.102009893225924e-57	7.279842128217777e-57
ed_asth 	368.0309278350516	3.6399210641088885e-57	7.279842128217777e-57
hosp_asth	102.91082802547771	2.5618587943456357e-14	2.5618587943456357e-14
hosp_overnight	187.8846153846154	1.7946104888961613e-26	2.691915733344242e-26
sx_week	171.5194805194805	5.827987289413623e-17	6.357804315723951e-17
freq_asth_sx  	183.8421052631579	4.944600081775781e-30	8.476457283044196e-30
wake_6mo	120.13157894736844	1.4556720479687955e-17	1.7468064575625546e-17
wake_4wk	961.3333333333333	7.565841989322582e-173	3.0263367957290327e-172
asthma_control_4wk	516.9	5.556465286888382e-82	1.6669395860665147e-81
