Molecule,pIC50
BACE_1,9.1549015
BACE_2,8.8538723
BACE_3,8.6989698
BACE_4,8.6989698
BACE_5,8.6989698
BACE_6,8.6989698
BACE_7,8.6989698
BACE_8,8.6126099
BACE_9,8.6020603
BACE_10,8.6020603
BACE_11,8.5228786
BACE_12,8.5228786
BACE_13,8.5228786
BACE_14,8.5228786
BACE_15,8.3979397
BACE_16,8.3979397
BACE_17,8.3010302
BACE_18,8.3010302
BACE_19,8.3010302
BACE_20,8.3010302
BACE_21,8.3010302
BACE_22,8.3010302
BACE_23,8.2596369
BACE_24,8.1804562
BACE_25,8.1549015
BACE_26,8.0969095
BACE_27,8.0969095
BACE_28,8.0969095
BACE_29,8.0969095
BACE_30,8.0705814
BACE_31,8
BACE_32,7.9586072
BACE_33,7.9586072
BACE_34,7.9586072
BACE_35,7.9208188
BACE_36,7.9208188
BACE_37,7.9208188
BACE_38,7.9208188
BACE_39,7.8860564
BACE_40,7.8860564
BACE_41,7.8538718
BACE_42,7.8538718
BACE_43,7.8239088
BACE_44,7.8239088
BACE_45,7.7746906
BACE_46,7.7695513
BACE_47,7.7695513
BACE_48,7.7447276
BACE_49,7.7212462
BACE_50,7.7212462
BACE_51,7.6989698
BACE_52,7.6989698
BACE_53,7.6382723
BACE_54,7.6382723
BACE_55,7.6197886
BACE_56,7.5850267
BACE_57,7.5686364
BACE_58,7.5686364
BACE_59,7.5686364
BACE_60,7.5686364
BACE_61,7.5528421
BACE_62,7.5228786
BACE_63,7.4814858
BACE_64,7.4436975
BACE_65,7.4317985
BACE_66,7.4089355
BACE_67,7.3979402
BACE_68,7.3979402
BACE_69,7.3979402
BACE_70,7.3899999
BACE_71,7.3565474
BACE_72,7.3565474
BACE_73,7.3279023
BACE_74,7.318759
BACE_75,7.3115802
BACE_76,7.309804
BACE_77,7.309804
BACE_78,7.2923999
BACE_79,7.2757239
BACE_80,7.2676063
BACE_81,7.2596374
BACE_82,7.2596374
BACE_83,7.2426038
BACE_84,7.2291479
BACE_85,7.221849
BACE_86,7.221849
BACE_87,7.1487417
BACE_88,7.1366773
BACE_89,7.1307683
BACE_90,7.1191864
BACE_91,7.1135092
