features	chi_statistic	uncorrected_p_value	BH_corrected_p_value
oral_steroids	802.4720812182741	1.9114820789115038e-112	1.1468892473469022e-111
antbx_last	1169.2061068702292	1.6967682937088082e-184	2.03612195245057e-183
asthma_doctor	119.27272727272728	2.7441050171287667e-12	4.11615752569315e-12
sx_age_start 	371.71428571428567	1.714196026162555e-39	4.114070462790132e-39
ed_asth 	348.9230769230769	3.3066827265364315e-41	9.920048179609294e-41
hosp_asth	97.6	8.163408047218602e-09	8.905536051511202e-09
hosp_overnight	136.22222222222223	1.2811579273558891e-10	1.5373895128270668e-10
sx_week	147.82278481012662	4.376283324436694e-06	4.376283324436694e-06
freq_asth_sx  	171.76433121019107	1.9848408698761287e-21	3.402584348359078e-21
wake_6mo	117.54777070063693	5.28656962976621e-12	7.048759506354946e-12
wake_4wk	690.1538461538462	2.4171206160521064e-98	9.668482464208426e-98
asthma_control_4wk	352.361216730038	3.537367689824931e-36	7.074735379649862e-36
