Attribute	wine_group1_rep1	wine_group1_rep2	wine_group1_rep3	wine_group1_rep4	wine_group1_rep5	wine_group1_rep6	wine_group1_rep7	wine_group1_rep8	wine_group1_rep9	wine_group1_rep10	wine_group1_rep11	wine_group1_rep12	wine_group1_rep13	wine_group1_rep14	wine_group1_rep15	wine_group1_rep16	wine_group1_rep17	wine_group1_rep18	wine_group1_rep19	wine_group1_rep20	wine_group1_rep21	wine_group1_rep22	wine_group1_rep23	wine_group1_rep24	wine_group1_rep25	wine_group1_rep26	wine_group1_rep27	wine_group1_rep28	wine_group1_rep29	wine_group1_rep30	wine_group1_rep31	wine_group1_rep32	wine_group1_rep33	wine_group1_rep34	wine_group1_rep35	wine_group1_rep36	wine_group1_rep37	wine_group1_rep38	wine_group1_rep39	wine_group1_rep40	wine_group1_rep41	wine_group1_rep42	wine_group1_rep43	wine_group1_rep44	wine_group1_rep45	wine_group1_rep46	wine_group1_rep47	wine_group1_rep48	wine_group1_rep49	wine_group1_rep50	wine_group1_rep51	wine_group1_rep52	wine_group1_rep53	wine_group1_rep54	wine_group1_rep55	wine_group1_rep56	wine_group1_rep57	wine_group1_rep58	wine_group1_rep59	wine_group2_rep1	wine_group2_rep2	wine_group2_rep3	wine_group2_rep4	wine_group2_rep5	wine_group2_rep6	wine_group2_rep7	wine_group2_rep8	wine_group2_rep9	wine_group2_rep10	wine_group2_rep11	wine_group2_rep12	wine_group2_rep13	wine_group2_rep14	wine_group2_rep15	wine_group2_rep16	wine_group2_rep17	wine_group2_rep18	wine_group2_rep19	wine_group2_rep20	wine_group2_rep21	wine_group2_rep22	wine_group2_rep23	wine_group2_rep24	wine_group2_rep25	wine_group2_rep26	wine_group2_rep27	wine_group2_rep28	wine_group2_rep29	wine_group2_rep30	wine_group2_rep31	wine_group2_rep32	wine_group2_rep33	wine_group2_rep34	wine_group2_rep35	wine_group2_rep36	wine_group2_rep37	wine_group2_rep38	wine_group2_rep39	wine_group2_rep40	wine_group2_rep41	wine_group2_rep42	wine_group2_rep43	wine_group2_rep44	wine_group2_rep45	wine_group2_rep46	wine_group2_rep47	wine_group2_rep48	wine_group2_rep49	wine_group2_rep50	wine_group2_rep51	wine_group2_rep52	wine_group2_rep53	wine_group2_rep54	wine_group2_rep55	wine_group2_rep56	wine_group2_rep57	wine_group2_rep58	wine_group2_rep59	wine_group2_rep60	wine_group2_rep61	wine_group2_rep62	wine_group2_rep63	wine_group2_rep64	wine_group2_rep65	wine_group2_rep66	wine_group2_rep67	wine_group2_rep68	wine_group2_rep69	wine_group2_rep70	wine_group2_rep71	wine_group3_rep1	wine_group3_rep2	wine_group3_rep3	wine_group3_rep4	wine_group3_rep5	wine_group3_rep6	wine_group3_rep7	wine_group3_rep8	wine_group3_rep9	wine_group3_rep10	wine_group3_rep11	wine_group3_rep12	wine_group3_rep13	wine_group3_rep14	wine_group3_rep15	wine_group3_rep16	wine_group3_rep17	wine_group3_rep18	wine_group3_rep19	wine_group3_rep20	wine_group3_rep21	wine_group3_rep22	wine_group3_rep23	wine_group3_rep24	wine_group3_rep25	wine_group3_rep26	wine_group3_rep27	wine_group3_rep28	wine_group3_rep29	wine_group3_rep30	wine_group3_rep31	wine_group3_rep32	wine_group3_rep33	wine_group3_rep34	wine_group3_rep35	wine_group3_rep36	wine_group3_rep37	wine_group3_rep38	wine_group3_rep39	wine_group3_rep40	wine_group3_rep41	wine_group3_rep42	wine_group3_rep43	wine_group3_rep44	wine_group3_rep45	wine_group3_rep46	wine_group3_rep47	wine_group3_rep48
Alcohol	0.8421052632	0.5710526316	0.5605263158	0.8789473684	0.5815789474	0.8342105263	0.8842105263	0.7973684211	1	0.7447368421	0.8078947368	0.8131578947	0.7157894737	0.9789473684	0.8815789474	0.6842105263	0.8605263158	0.7368421053	0.8315789474	0.6868421053	0.7973684211	0.5	0.7052631579	0.4789473684	0.65	0.5315789474	0.6210526316	0.5973684211	0.7473684211	0.7868421053	0.7105263158	0.6710526316	0.6973684211	0.7184210526	0.6526315789	0.6447368421	0.5921052632	0.5315789474	0.5368421053	0.8394736842	0.6657894737	0.6263157895	0.75	0.5815789474	0.5315789474	0.8368421053	0.8815789474	0.7552631579	0.8078947368	0.7657894737	0.5315789474	0.7368421053	0.7342105263	0.7210526316	0.7131578947	0.6657894737	0.8394736842	0.5947368421	0.7078947368	0.3526315789	0.3421052632	0.4236842105	0.6947368421	0.3526315789	0.3	0.3526315789	0.5473684211	0.3526315789	0.6078947368	0.3105263158	0.3315789474	0.7447368421	0.6473684211	0.5157894737	0.2447368421	0.1657894737	0.5263157895	0.2131578947	0.3421052632	0.4394736842	0.2552631579	0.4447368421	0.2763157895	0.5315789474	0.2131578947	0.4315789474	0.2973684211	0.1631578947	0.1605263158	0.2763157895	0.2763157895	0.2552631579	0.4368421053	0.3315789474	0.1552631579	0.3789473684	0.2052631579	0.3315789474	0.3526315789	0.3315789474	0.2763157895	0.4131578947	0.3447368421	0.2078947368	0.3894736842	0.3657894737	0.3210526316	0.4447368421	0.3131578947	0.1526315789	0.1131578947	0.3921052632	0.1921052632	0.1	0.2763157895	0	0.2078947368	0.3657894737	0.4578947368	0.2552631579	0.1105263158	0.1394736842	0.3657894737	0.5315789474	0.2210526316	0.2736842105	0.3684210526	0.2	0.3526315789	0.2657894737	0.4815789474	0.4868421053	0.4684210526	0.4394736842	0.3894736842	0.4131578947	0.3210526316	0.3947368421	0.6473684211	0.4763157895	0.5	0.6131578947	0.6552631579	0.6815789474	0.3210526316	0.5605263158	0.75	0.4842105263	0.6026315789	0.5394736842	0.65	0.4631578947	0.5473684211	0.5789473684	0.4078947368	0.5631578947	0.7394736842	0.3736842105	0.8710526316	0.6447368421	0.35	0.7	0.4789473684	0.5078947368	0.7236842105	0.7105263158	0.6368421053	0.4710526316	0.6710526316	0.6236842105	0.3078947368	0.4578947368	0.8236842105	0.7052631579	0.6236842105	0.5894736842	0.5631578947	0.8157894737
Malic_acid	0.1916996047	0.2055335968	0.3201581028	0.2391304348	0.3656126482	0.2015810277	0.2233201581	0.2786561265	0.1778656126	0.1205533597	0.2806324111	0.1462450593	0.1956521739	0.1956521739	0.2233201581	0.2114624506	0.233201581	0.1640316206	0.1679841897	0.4664031621	0.1758893281	0.604743083	0.2213438735	0.1699604743	0.2114624506	0.2588932806	0.2035573123	0.1936758893	0.2292490119	0.185770751	0.1501976285	0.1818181818	0.2154150198	0.1561264822	0.209486166	0.2114624506	0.1778656126	0.1798418972	0.1501976285	0.6422924901	0.1916996047	0.6126482213	0.2272727273	0.6403162055	0.2035573123	0.652173913	0.5632411067	0.185770751	0.2529644269	0.1956521739	0.1956521739	0.1798418972	0.1996047431	0.2292490119	0.1837944664	0.1956521739	0.1897233202	0.243083004	0.1363636364	0.0395256917	0.0711462451	0.1225296443	0.1007905138	0.0770750988	0.1403162055	0.0928853755	0.0533596838	0.0849802372	0.0395256917	0.0889328063	0.1719367589	0.152173913	0.1818181818	0.1837944664	0.0691699605	0.2252964427	0.0316205534	0.4249011858	0.0494071146	0.6185770751	0.0355731225	0.2114624506	0.0770750988	0.6166007905	0.0296442688	0.04743083	0.1719367589	0.1837944664	0.2608695652	0.1166007905	0.2154150198	0.152173913	0.1561264822	0.4130434783	0.2470355731	0.1541501976	0.2727272727	0.1324110672	0.0652173913	0.4802371542	0.2648221344	0.1185770751	0.337944664	0.1936758893	0.1956521739	0.3577075099	0.1956521739	0.1996047431	0.1086956522	0.1205533597	0.5928853755	0.3339920949	0.3833992095	0	0.128458498	0.152173913	0.1442687747	0.1719367589	0.5316205534	0.5316205534	0.3280632411	0.2588932806	0.7292490119	1	0.7055335968	0.2806324111	0.1561264822	0.2747035573	0.1758893281	0.7035573123	0.1205533597	0.4446640316	0.3102766798	0.5553359684	0.0988142292	0.3399209486	0.7865612648	0.942687747	0.5632411067	0.4387351779	0.4090909091	0.3596837945	0.4802371542	0.8320158103	0.6205533597	0.5592885375	0.8498023715	0.7648221344	0.4940711462	0.6245059289	0.4703557312	0.3814229249	0.2292490119	0.5059288538	0.1086956522	0.8794466403	0.6679841897	0.45256917	0.185770751	0.1837944664	0.6106719368	0.4980237154	0.5	0.5355731225	0.3992094862	0.7154150198	0.5849802372	0.5197628458	0.3636363636	0.7628458498	0.45256917	0.3260869565	0.3498023715	0.9703557312	0.6264822134	0.6996047431	0.3656126482	0.6640316206
Ash	0.5721925134	0.4171122995	0.7005347594	0.6096256684	0.807486631	0.5828877005	0.5828877005	0.6684491979	0.4331550802	0.486631016	0.5026737968	0.513368984	0.5614973262	0.550802139	0.5454545455	0.7165775401	0.7272727273	0.6737967914	0.5989304813	0.6417112299	0.4919786096	0.6898395722	0.5347593583	0.6203208556	0.6684491979	0.9946524064	0.6737967914	0.4171122995	0.7700534759	0.4545454545	0.7165775401	0.5347593583	0.5347593583	0.7165775401	0.6898395722	0.5614973262	0.7914438503	0.6363636364	0.3957219251	0.614973262	0.5080213904	0.4064171123	0.6577540107	0.4973262032	0.3957219251	0.577540107	0.4919786096	0.4064171123	0.5561497326	0.486631016	0.3636363636	0.6631016043	0.5668449198	0.7058823529	0.4759358289	0.5882352941	0.5026737968	0.7058823529	0.6096256684	0	0.4919786096	0.3529411765	0.2994652406	0.4278074866	0.6256684492	0.6417112299	0.1818181818	0.2994652406	0.5347593583	0.2085561497	0.4545454545	0.7005347594	0.4705882353	0.6631016043	0.5026737968	0.2994652406	0.1871657754	0.4652406417	0.3155080214	0.5561497326	0.3422459893	0.449197861	0.614973262	0.513368984	0.6524064171	0.4705882353	0.5080213904	0.6737967914	0.5882352941	0.5026737968	0.513368984	0.5668449198	0.4812834225	0.4598930481	0.4919786096	0.449197861	0.7379679144	0.3315508021	0.3957219251	0.4545454545	0.1818181818	0.2887700535	0.5882352941	0.2780748663	0.3315508021	0.486631016	0.4064171123	0.4919786096	0.3101604278	0.7165775401	0.2459893048	0.4331550802	0.8342245989	0.6096256684	0.6096256684	0.449197861	0.3368983957	0.4438502674	0.3315508021	0.3422459893	0.5668449198	1	0.7326203209	0.4117647059	0.550802139	0.4331550802	0.4973262032	0.7593582888	0.5026737968	0.5454545455	0.513368984	0.5561497326	0.5561497326	0.5347593583	0.4759358289	0.449197861	0.6310160428	0.6844919786	0.4438502674	0.6684491979	0.7165775401	0.5294117647	0.7272727273	0.5294117647	0.449197861	0.422459893	0.4652406417	0.5989304813	0.5454545455	0.5347593583	0.6737967914	0.5989304813	0.743315508	0.4919786096	0.3957219251	0.513368984	0.5454545455	0.6844919786	0.7165775401	0.6844919786	0.5454545455	0.6310160428	0.6524064171	0.5294117647	0.5026737968	0.4812834225	0.6631016043	0.5026737968	0.7112299465	0.8021390374	0.513368984	0.4919786096	0.5989304813	0.5828877005	0.5989304813	0.4812834225	0.5401069519	0.7379679144
Alcalinity_of_ash	0.2577319588	0.0309278351	0.412371134	0.3195876289	0.5360824742	0.2371134021	0.206185567	0.3608247423	0.175257732	0.2783505155	0.381443299	0.3195876289	0.2783505155	0.0412371134	0.0721649485	0.3402061856	0.4845360825	0.4845360825	0.3041237113	0.2371134021	0.2783505155	0.412371134	0.3092783505	0.3711340206	0.4845360825	0.7422680412	0.2835051546	0.3298969072	0.4536082474	0.2783505155	0.6134020619	0.4381443299	0.3402061856	0.4587628866	0.4329896907	0.5103092784	0.2525773196	0.381443299	0.2525773196	0.1340206186	0.2886597938	0.4226804124	0.2268041237	0.3556701031	0.3298969072	0.4278350515	0.2783505155	0.2783505155	0.4226804124	0.3505154639	0.0927835052	0.3402061856	0.175257732	0.3350515464	0.2989690722	0.5103092784	0.293814433	0.3195876289	0.3144329897	0	0.2783505155	0.3195876289	0.381443299	0.4329896907	0.4329896907	0.3865979381	0.2268041237	0.4639175258	0.3298969072	0.3195876289	0.5051546392	0.7422680412	0.6907216495	1	0.5360824742	0.2783505155	0.2783505155	0.381443299	0.2164948454	0.6391752577	0.4329896907	0.4226804124	0.6907216495	0.6134020619	0.381443299	0.381443299	0.6288659794	0.793814433	0.5670103093	0.6701030928	0.4072164948	0.587628866	0.5206185567	0.381443299	0.381443299	0.4329896907	0.5618556701	0.2783505155	0.4072164948	0.381443299	0.3556701031	0.4072164948	0.5360824742	0.4587628866	0.5103092784	0.587628866	0.4329896907	0.6134020619	0.4329896907	0.4845360825	0.4587628866	0.5360824742	0.4845360825	0.5360824742	0.6134020619	0.5618556701	0.5257731959	0.6134020619	0.2783505155	0.4329896907	0.4845360825	0.9226804124	0.8195876289	0.5618556701	0.5360824742	0.5360824742	0.5618556701	0.9226804124	0.7164948454	0.587628866	0.381443299	0.4845360825	0.6907216495	0.5618556701	0.3556701031	0.4072164948	0.5360824742	0.7422680412	0.4587628866	0.6907216495	0.5360824742	0.4845360825	0.6649484536	0.4845360825	0.4072164948	0.5360824742	0.4845360825	0.5618556701	0.5618556701	0.5618556701	0.6907216495	0.587628866	0.7680412371	0.4072164948	0.4845360825	0.587628866	0.4587628866	0.8453608247	0.7422680412	0.6134020619	0.5360824742	0.4845360825	0.587628866	0.4072164948	0.587628866	0.6134020619	0.6391752577	0.4587628866	0.7164948454	0.7422680412	0.4329896907	0.4587628866	0.4845360825	0.5103092784	0.6391752577	0.4845360825	0.4845360825	0.7164948454
Magnesium	0.6195652174	0.3260869565	0.3369565217	0.4673913043	0.5217391304	0.4565217391	0.2826086957	0.5543478261	0.2934782609	0.3043478261	0.3804347826	0.2717391304	0.2065217391	0.2282608696	0.347826087	0.4565217391	0.5434782609	0.4891304348	0.4130434783	0.5	0.6086956522	0.347826087	0.3369565217	0.2717391304	0.2826086957	0.5869565217	0.25	0.2608695652	0.402173913	0.2826086957	0.3369565217	0.3913043478	0.3695652174	0.6739130435	0.4347826087	0.3260869565	0.4347826087	0.3043478261	0.3043478261	0.6304347826	0.5108695652	0.2173913043	0.3369565217	0.3586956522	0.402173913	0.4456521739	0.347826087	0.3369565217	0.3586956522	0.4130434783	0.2391304348	0.2608695652	0.4456521739	0.4891304348	0.5217391304	0.5	0.5217391304	0.347826087	0.4130434783	0.1956521739	0.3369565217	0.3260869565	0.2608695652	0.1847826087	0.3695652174	0.3043478261	0.0869565217	0.0869565217	0.4347826087	0.8804347826	0.3586956522	0.1739130435	0.1847826087	0.75	0.3369565217	0.2934782609	0.1739130435	0.4565217391	0.7173913043	0.3369565217	0.1739130435	0.1739130435	0.0869565217	0.1630434783	0.2608695652	0.3152173913	0.2173913043	0.1956521739	0.152173913	0	0.1195652174	0.1739130435	0.1086956522	0.1956521739	0.3043478261	1	0.6956521739	0.1630434783	0.1956521739	0.1956521739	0.2934782609	0.1956521739	0.3043478261	0.1739130435	0.1630434783	0.2173913043	0.1086956522	0.152173913	0.2391304348	0.2608695652	0.402173913	0.1956521739	0.3586956522	0.1956521739	0.152173913	0.1630434783	0.1739130435	0.4130434783	0.1086956522	0.1847826087	0.2826086957	0.5326086957	0.347826087	0.1739130435	0.1304347826	0.1630434783	0.1739130435	0.2391304348	0.1956521739	0.1086956522	0.5652173913	0.3695652174	0.3043478261	0.3913043478	0.1630434783	0.2608695652	0.2065217391	0.2826086957	0.1956521739	0.3369565217	0.2826086957	0.2065217391	0.2934782609	0.2391304348	0.4565217391	0.347826087	0.1086956522	0.1739130435	0.2391304348	0.4673913043	0.5760869565	0.4565217391	0.5	0.3043478261	0.3586956522	0.25	0.2065217391	0.2934782609	0.3043478261	0.2065217391	0.1956521739	0.402173913	0.3913043478	0.3913043478	0.2173913043	0.1956521739	0.4456521739	0.1956521739	0.3804347826	0.4565217391	0.2826086957	0.1739130435	0.2282608696	0.2717391304	0.347826087	0.5434782609	0.5434782609	0.2826086957
Total_phenols	0.6275862069	0.575862069	0.6275862069	0.9896551724	0.6275862069	0.7896551724	0.524137931	0.5586206897	0.6275862069	0.6896551724	0.6793103448	0.4206896552	0.5586206897	0.7310344828	0.8	0.6448275862	0.6275862069	0.6793103448	0.8	0.5931034483	0.6965517241	0.4931034483	0.5620689655	0.5172413793	0.5344827586	0.5689655172	0.6448275862	0.4896551724	0.6793103448	0.575862069	0.6965517241	0.6482758621	0.4965517241	0.6793103448	0.4724137931	0.5931034483	0.5586206897	0.5068965517	0.4896551724	0.6965517241	0.7482758621	0.5068965517	0.7827586207	0.5724137931	0.6965517241	0.6448275862	0.7827586207	0.7310344828	0.6103448276	0.6551724138	0.6	0.5068965517	1	0.6965517241	0.5586206897	0.6827586207	0.7655172414	0.6965517241	0.8344827586	0.3448275862	0.3689655172	0.3586206897	0.3862068966	0.8689655172	0.3137931034	0.4965517241	0.6896551724	0.3896551724	0.5344827586	0.3	0.0413793103	0.6793103448	0.3103448276	0.8	0.8275862069	0.2172413793	0.3344827586	0.2551724138	0.3172413793	0.6379310345	0.4965517241	0.4206896552	0.3517241379	0.2310344828	0.4206896552	0.4206896552	0.275862069	0.324137931	0.3344827586	0.4206896552	0.2137931034	0.1620689655	0.1379310345	0.5068965517	0.7034482759	0.524137931	0.2137931034	0.5413793103	0.875862069	0.6448275862	0.4310344828	0.1620689655	0.5448275862	0.524137931	0.4206896552	0.2413793103	0.2310344828	0.1379310345	0.475862069	0.6068965517	0.7586206897	0.5413793103	0.2655172414	0.5172413793	0.5448275862	0.5103448276	0.3448275862	0.3517241379	0.224137931	0.3517241379	0.6620689655	0.7586206897	0.4206896552	0.5655172414	0.6482758621	0.5586206897	0.6068965517	0.3965517241	0.4275862069	0.3862068966	0.1827586207	0.1103448276	0.0586206897	0.2482758621	0.3517241379	0.2206896552	0.1379310345	0.2793103448	0.2206896552	0.4620689655	0.1931034483	0.1448275862	0.1965517241	0.3517241379	0.1379310345	0.1793103448	0	0.2482758621	0.3275862069	0.1482758621	0.1448275862	0.1724137931	0.4206896552	0.2827586207	0.1724137931	0.2620689655	0.2827586207	0.3172413793	0.6275862069	0.5586206897	0.4551724138	0.2931034483	0.2310344828	0.1413793103	0.1275862069	0.1034482759	0.2482758621	0.1724137931	0.1965517241	0.3448275862	0.0931034483	0.1413793103	0.2413793103	0.2413793103	0.2827586207	0.2103448276	0.2310344828	0.3689655172
Flavanoids	0.5738396624	0.5105485232	0.611814346	0.664556962	0.4957805907	0.6434599156	0.4599156118	0.4578059072	0.5569620253	0.5928270042	0.6286919831	0.44092827	0.5105485232	0.7067510549	0.6962025316	0.5421940928	0.5907172996	0.6455696203	0.7573839662	0.5675105485	0.5970464135	0.4367088608	0.5358649789	0.4282700422	0.4789029536	0.4936708861	0.5485232068	0.3902953586	0.5548523207	0.4198312236	0.6139240506	0.6012658228	0.4957805907	0.5063291139	0.4620253165	0.5569620253	0.4936708861	0.44092827	0.4852320675	0.5696202532	0.6223628692	0.4936708861	0.6793248945	0.4831223629	0.5611814346	0.4873417722	0.5970464135	0.6434599156	0.5443037975	0.6751054852	0.6181434599	0.55907173	0.7172995781	0.5168776371	0.5400843882	0.5147679325	0.5611814346	0.6097046414	0.7025316456	0.0485232068	0.1582278481	0.2257383966	0.305907173	0.582278481	0.2974683544	0.4873417722	0.5991561181	0.3502109705	0.2025316456	0.1983122363	0.1434599156	0.5316455696	0.3164556962	0.5379746835	0.3797468354	0.2594936709	0.3565400844	0.2067510549	0.3185654008	0.4662447257	0.4050632911	0.4620253165	0.2616033755	0.2637130802	0.3945147679	0.3375527426	0.2848101266	0.2679324895	0.2848101266	0.2637130802	0.2447257384	0.1919831224	0.2362869198	0.4029535865	0.4050632911	0.4071729958	0.1371308017	0.4556962025	0.7194092827	0.55907173	0.3860759494	0.2151898734	0.3734177215	0.2742616034	0.3333333333	0.3164556962	0.3565400844	0.2995780591	0.358649789	0.5443037975	0.4725738397	0.4071729958	0.3565400844	0.3523206751	0.4113924051	0.3860759494	0.2658227848	0.3691983122	0.1919831224	0.2742616034	0.5168776371	1	0.3776371308	0.4873417722	0.5675105485	0.4873417722	0.5928270042	0.4008438819	0.4451476793	0.2974683544	0.1919831224	0.1856540084	0.1582278481	0.1814345992	0.0506329114	0.0675105485	0.0274261603	0.0548523207	0.029535865	0.0548523207	0.0337552743	0.0337552743	0.0379746835	0.0970464135	0.0928270042	0.0443037975	0	0.0654008439	0.0886075949	0.2215189873	0.2594936709	0.2151898734	0.1983122363	0.1033755274	0.0506329114	0.0611814346	0.1033755274	0.0506329114	0.2046413502	0.1603375527	0.1223628692	0.0464135021	0.0548523207	0.0759493671	0.0717299578	0.0274261603	0.1223628692	0.0675105485	0.1054852321	0.1308016878	0.0316455696	0.0358649789	0.0759493671	0.0569620253	0.0864978903	0.0738396624	0.0717299578	0.0886075949
Nonflavanoid_phenols	0.2830188679	0.2452830189	0.320754717	0.2075471698	0.4905660377	0.3962264151	0.320754717	0.3396226415	0.3018867925	0.1698113208	0.1698113208	0.2452830189	0.3018867925	0.5660377358	0.3018867925	0.320754717	0.3773584906	0.5094339623	0.358490566	0.0754716981	0.2075471698	0.2264150943	0.2641509434	0.2452830189	0.2830188679	0.641509434	0.3962264151	0.2641509434	0.4528301887	0.2452830189	0.3018867925	0.1698113208	0.5471698113	0.6981132075	0.3018867925	0.2452830189	0.3962264151	0.3018867925	0.2830188679	0.1320754717	0.3962264151	0.2641509434	0.0754716981	0.358490566	0.2830188679	0.320754717	0.2641509434	0.1509433962	0.358490566	0.358490566	0.0754716981	0.1698113208	0.358490566	0.4905660377	0.1509433962	0.1320754717	0.2452830189	0.3396226415	0.1132075472	0.2830188679	0.9433962264	0.7547169811	0.358490566	0.1132075472	0.6037735849	0.4528301887	0.2452830189	0.2641509434	0.7924528302	0.0188679245	0.4528301887	0.1509433962	0.2641509434	0.1509433962	0	0.3962264151	0.2075471698	0.5660377358	0.4150943396	0.5660377358	0.320754717	0.2452830189	0.5094339623	0.9056603774	0.1698113208	0.320754717	0.5660377358	0.5094339623	0.6603773585	0.5471698113	0.7358490566	0.6981132075	0.8490566038	0.2264150943	0.0754716981	0.358490566	0.0188679245	0.3018867925	0.2075471698	0.6037735849	0.2452830189	0.3018867925	0.3962264151	0.4528301887	0.358490566	1	0.4528301887	0.6603773585	0.4905660377	0.3018867925	0.2075471698	0.2452830189	0.8867924528	0.5471698113	0.5660377358	0.7358490566	0.320754717	0.3962264151	0.5660377358	0.4528301887	0.358490566	0.641509434	0.5660377358	0.320754717	0.1509433962	0.4528301887	0.4905660377	0.8490566038	0.5094339623	0.5471698113	0.1509433962	0.2075471698	0.2641509434	0.0754716981	0.8867924528	0.9433962264	0.7547169811	0.9433962264	0.8490566038	0.7547169811	0.7547169811	0.4528301887	0.6981132075	0.641509434	0.3018867925	0.5660377358	0.5094339623	0.641509434	0.6037735849	0.3962264151	0.1698113208	0.2075471698	0.2452830189	0.9056603774	0.7547169811	0.9056603774	0.6603773585	0.9433962264	0.7547169811	0.7358490566	0.6981132075	0.6981132075	0.8867924528	0.5094339623	0.5283018868	0.7358490566	0.5660377358	0.5094339623	0.4905660377	0.2641509434	0.5094339623	0.6603773585	0.5849056604	0.7358490566	0.5660377358	0.5660377358	0.7547169811	0.8113207547
Proanthocyanins	0.5930599369	0.2744479495	0.7570977918	0.5583596215	0.4447949527	0.4921135647	0.4952681388	0.2649842271	0.4952681388	0.4542586751	0.6214511041	0.3659305994	0.4416403785	0.7570977918	0.8044164038	0.3312302839	0.4921135647	0.4132492114	0.4574132492	0.3943217666	0.5331230284	0.4952681388	0.403785489	0.3312302839	0.3943217666	0.476340694	0.3280757098	0.2965299685	0.4258675079	0.4952681388	0.6214511041	0.4858044164	0.4921135647	0.2965299685	0.356466877	0.4574132492	0.2996845426	0.3249211356	0.3028391167	0.5268138801	0.6088328076	0.3375394322	0.4069400631	0.3943217666	0.5110410095	0.2649842271	0.5615141956	0.5457413249	0.6214511041	0.5268138801	0.7886435331	0.5930599369	0.4605678233	0.4006309148	0.38170347	0.643533123	0.5110410095	0.3943217666	0.5141955836	0.0031545741	0	0.0662460568	0.1009463722	0.4605678233	0.1955835962	0.5268138801	0.5899053628	0.1987381703	0.0031545741	0.6593059937	0.3312302839	0.4605678233	0.1955835962	0.4889589905	0.3911671924	0.2334384858	0.3312302839	0.1703470032	0.7413249211	0.4858044164	0.3217665615	0.429022082	0.3123028391	0.38170347	0.6119873817	0.3312302839	0.3627760252	0.2933753943	0.2965299685	0.3059936909	0.3880126183	0.3848580442	0.38170347	0.4984227129	0.2965299685	0.905362776	0.3627760252	0.429022082	0.4858044164	0.7570977918	0.3123028391	0.2965299685	0.2839116719	0.3186119874	0.3375394322	0.3186119874	0.3848580442	0.3848580442	0.5268138801	0.6561514196	1	0.2555205047	0.2018927445	0.3249211356	0.1987381703	0.5047318612	0.3533123028	0.3785488959	0.1324921136	0.4605678233	0.4479495268	0.4605678233	0.4100946372	0.5047318612	0.7886435331	0.2965299685	0.429022082	0.4258675079	0.4700315457	0.2965299685	0.167192429	0.1324921136	0.1324921136	0.1356466877	0.2649842271	0.167192429	0.1230283912	0.2176656151	0.1482649842	0.1261829653	0.1072555205	0.072555205	0.0441640379	0.1924290221	0.2302839117	0.2807570978	0.0851735016	0.141955836	0.2649842271	0.2302839117	0.2649842271	0.2681388013	0.3627760252	0.4605678233	0.3123028391	0.3596214511	0.3627760252	0.2302839117	0.7223974763	0.5930599369	0.1987381703	0.1230283912	0.1735015773	0.167192429	0.1955835962	0.2334384858	0.3312302839	0.1766561514	0.356466877	0.2208201893	0.1009463722	0.072555205	0.261829653	0.2050473186	0.3154574132	0.2965299685	0.3312302839	0.2965299685
Color_intensity	0.3720136519	0.2645051195	0.3754266212	0.5563139932	0.2593856655	0.4667235495	0.3387372014	0.3216723549	0.3344709898	0.5068259386	0.3813993174	0.3174061433	0.3686006826	0.3515358362	0.5307167235	0.5136518771	0.4197952218	0.4539249147	0.633105802	0.3259385666	0.3728668942	0.2747440273	0.2150170648	0.226109215	0.1911262799	0.1962457338	0.3003412969	0.2278156997	0.2747440273	0.2918088737	0.3771331058	0.4795221843	0.2184300341	0.3515358362	0.2491467577	0.3259385666	0.2832764505	0.2534129693	0.2064846416	0.3259385666	0.4138225256	0.2559726962	0.3540955631	0.2627986348	0.3208191126	0.337883959	0.3088737201	0.4112627986	0.4197952218	0.6501706485	0.5051194539	0.3686006826	0.4923208191	0.4283276451	0.3899317406	0.4240614334	0.4351535836	0.4027303754	0.4709897611	0.0571672355	0.1697952218	0.3813993174	0.2150170648	0.2704778157	0.1424914676	0.2832764505	0.343003413	0.2901023891	0.1612627986	0.1339590444	0.1510238908	0.1791808874	0.2098976109	0.1766211604	0.1646757679	0.2150170648	0.2832764505	0.116894198	0.180887372	0.1100682594	0.1040955631	0.2235494881	0.0784982935	0.3003412969	0.1510238908	0.114334471	0.0998293515	0.1126279863	0.1296928328	0.0392491468	0.0955631399	0.1979522184	0.1510238908	0.0742320819	0.1680887372	0.1126279863	0.1040955631	0.138225256	0.2747440273	0.0870307167	0.1723549488	0.0998293515	0.1296928328	0.066552901	0.1416382253	0.1211604096	0.180887372	0.1723549488	0.1211604096	0.116894198	0.138225256	0.0614334471	0.2150170648	0.1535836177	0.138225256	0.0529010239	0.0571672355	0.066552901	0.180887372	0	0.1680887372	0.4027303754	0.0682593857	0.1126279863	0.1296928328	0.1262798635	0.2269624573	0.1467576792	0.0716723549	0.1126279863	0.2406143345	0.3515358362	0.3771331058	0.3174061433	0.3558020478	0.4965870307	0.2192832765	0.3174061433	0.3771331058	0.3105802048	0.2832764505	0.3686006826	0.2619453925	0.2662116041	0.5912969283	0.2320819113	0.3088737201	0.5435153584	0.6092150171	0.6928327645	0.6245733788	0.8122866894	0.4965870307	0.7883959044	0.5392491468	0.5648464164	0.659556314	0.5307167235	1	0.8933447099	0.5435153584	0.3924914676	0.366894198	0.3412969283	0.7081911263	0.4556313993	0.8020477816	0.7662116041	0.6296928328	0.6160409556	0.3600682594	0.7354947952	0.7184300341	0.54778157	0.5136518771	0.7610921502	0.6843003413	0.6757679181
