"strID","EN","RU",FR,"DE","ES"
"strAccessError","Access is denied! Folder:","В доступе отказано! Папка:","L'accès est refusé! Dossier:","Zugriff verweigert! Ordner:","Acceso denegado! Carpeta:"
"strProcessInfo","Folder {start} processed. Found {retval} copies!","Папка {start} обработана. Найдено {retval} копий!",Dossier {start} traité. J'ai trouvé {retval} exemplaires !,"Ordner {start} verarbeitet. {retval} Exemplare gefunden!","Carpeta {start} procesada. Encontré {retval} copias!"
"strDescription","Utility to recursive search and move/delete duplicate files of the same size and context in specified folder.","Утилита для рекурсивного поиска и перемещения/удаления дубликатов файлов одинакового размера и контекста в указанной папке.","Utilitaire de recherche récursive et de déplacement/suppression de fichiers en double de même taille et contexte dans le dossier spécifié.",Dienstprogramm zum rekursiven Suchen und Verschieben/Löschen doppelter Dateien derselben Größe und desselben Kontexts im angegebenen Ordner.,"Utilidad para la búsqueda recursiva y mover/eliminar archivos duplicados del mismo tamaño y contexto en la carpeta especificada."
"strEpilog","If the storage folder is not specified, then duplicate files will be deleted! If the number of command line parameters is zero, then the search folder = current folder.","Если папка хранения не указана, то файлы-дубликаты будут удалены! Если количество параметров командной строки равно нулю, то папка поиска = текущая папка.","Si le dossier de stockage n'est pas spécifié, les fichiers en double seront supprimés ! Si le nombre de paramètres de ligne de commande est zéro, alors le dossier de recherche = dossier courant.","Wenn der Speicherordner nicht angegeben ist, werden doppelte Dateien gelöscht! Wenn die Anzahl der Befehlszeilenparameter null ist, dann ist der Suchordner = aktueller Ordner.","Si no se especifica la carpeta de almacenamiento, ¡se eliminarán los archivos duplicados! Si el número de parámetros de la línea de comando es cero, entonces la carpeta de búsqueda = carpeta actual."
"strRecursiveSearchBegin","The folder with which the recursive search begins.","Папка, с которой начинается рекурсивный поиск.","Le dossier avec lequel la recherche récursive commence.","Der Ordner, mit dem die rekursive Suche beginnt.","La carpeta con la que comienza la búsqueda recursiva."
"strFolderForStor","Folder for storing duplicate files.","Папка для хранения дубликатов файлов.","Dossier pour stocker les fichiers en double.","Ordner zum Speichern doppelter Dateien.","Carpeta para almacenar archivos duplicados."
"strLogFileName","Log file name.","Имя файла журнала.","Nom du fichier journal.","Protokolldateiname.","Nombre del archivo de registro."
"strFileNamePattern","File name pattern. Only files matching the pattern are processed! Provides support for Unix shell-style wildcards.","Шаблон имени файла. Обрабатываются только файлы, соответствующие шаблону! Обеспечивает поддержку подстановочных знаков в стиле оболочки Unix.","Modèle de nom de fichier. Seuls les fichiers correspondant au modèle sont traités ! Prend en charge les caractères génériques de style shell Unix.","Dateinamensmuster. Es werden nur Dateien verarbeitet, die dem Muster entsprechen! Bietet Unterstützung für Wildcards im Unix-Shell-Stil.","Patrón de nombre de archivo. ¡Solo se procesan los archivos que coinciden con el patrón! Proporciona soporte para comodines de estilo shell de Unix."
"strNotRecursively","If this parameter is set, then recursive search is disabled!","Если этот параметр установлен, то рекурсивный поиск отключен!","Si ce paramètre est défini, la recherche récursive est désactivée !","Wenn dieser Parameter gesetzt ist, dann ist die rekursive Suche deaktiviert!","Si se establece este parámetro, ¡la búsqueda recursiva está deshabilitada!"
"strInvalidSearchFolder","Invalid path to search folder: {search_folder}. Exit!","Недопустимый путь к папке поиска: {search_folder}. Выход!","Chemin d'accès au dossier de recherche non valide : {search_folder}. Sortie!","Ungültiger Pfad zum Suchordner: {search_folder}. Ausfahrt!","Ruta no válida a la carpeta de búsqueda: {search_folder}. Salida!"
"strInvalidStorageFolder","Invalid path to storage folder: {stor_folder}. Exit!","Недопустимый путь к папке хранилища: {stor_folder}. Выход!","Chemin d'accès au dossier de stockage non valide : {stor_folder}. Sortie!","Ungültiger Pfad zum Speicherordner: {stor_folder}. Ausfahrt!","Ruta no válida a la carpeta de almacenamiento: {stor_folder}. Salida!"
"strSearchForDupFilesInFolder","Search for duplicate files in the folder: {folder_name}","Поиск дубликатов файлов в папке: {folder_name}","Rechercher les fichiers en double dans le dossier : {folder_name}","Suche nach doppelten Dateien im Ordner: {folder_name}","Busque archivos duplicados en la carpeta: {folder_name}"
"strPatternFileName","File name template: {pattern}","Шаблон имени файла: {pattern}","Modèle de nom de fichier : {pattern}","Dateinamenvorlage: {pattern}","Plantilla de nombre de archivo: {pattern}"
"strLogFileName_1","Log file name: {log}","Имя файла журнала: {log}","Nom du fichier journal : {log}","Protokolldateiname: {log}","Nombre del archivo de registro: {log}"
