,topicId,split,topicText,topicTarget,topicSentiment,claims.claimId,claims.stance,claims.claimCorrectedText,claims.claimOriginalText,claims.article.rawFile,claims.article.rawSpan.start,claims.article.rawSpan.end,claims.article.cleanFile,claims.article.cleanSpan.start,claims.article.cleanSpan.end,claims.Compatible,claims.claimTarget.text,claims.claimTarget.span.start,claims.claimTarget.span.end,claims.claimSentiment,claims.targetsRelation
547,441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,202105,CON,A single election in which the party nominee is selected by nonparty members could be enough to destroy the party,A single election in which the party nominee is selected by nonparty members could be enough to destroy the party,articles/t441/raw_1322.txt,3502,3615,articles/t441/clean_1322.txt,2260,2373,yes,A single election in which the party nominee is selected by nonparty members,0.0,76.0,-1.0,1.0
548,441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,202106,CON,A party's basic function is to choose its own leaders,"a party's ""basic function"" to choose its own leaders",articles/t441/raw_1322.txt,3696,3748,articles/t441/clean_1322.txt,2454,2506,no,,,,,
549,441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209686,PRO,The open primary can be seen as good for voter participation,The open primary could be seen as good for voter participation,articles/t441/raw_2115.txt,992,1070,articles/t441/clean_2115.txt,728,790,yes,The open primary,0.0,16.0,1.0,1.0
550,441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209687,PRO,the open primary allows nonpartisan or independent voters to participate in the nominating process,the open primary allows nonpartisan or independent voters to participate in the nominating process,articles/t441/raw_2115.txt,1082,1223,articles/t441/clean_2115.txt,799,897,yes,the open primary,0.0,16.0,1.0,1.0
551,441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209688,PRO,If nonpartisan or independent voters are allowed to help select the nominees then they may be more likely to vote in the general election,If these voters are allowed to help select the nominees then they may be more likely to vote in the general election,articles/t441/raw_2115.txt,1502,1618,articles/t441/clean_2115.txt,905,1021,yes,nonpartisan or independent voters,3.0,36.0,1.0,1.0
552,441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209689,CON,voter participation in the United States was higher when people could only vote in the primary for their own party,voter participation in the United States was higher when people could only vote in the primary for their own party,articles/t441/raw_2115.txt,2071,2189,articles/t441/clean_2115.txt,1438,1552,no,,,,,
553,441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209690,CON,With the open primary more voters become independent and are less likely to participate in the nominating or election processes,more voters become independent and are less likely to participate in the nominating or election processes,articles/t441/raw_2115.txt,2674,2779,articles/t441/clean_2115.txt,1861,1966,yes,the open primary,5.0,21.0,-1.0,1.0
554,441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209692,CON,the open primary leaves the party nominations vulnerable to manipulation and dilution,the open primary leaves the party nominations vulnerable to manipulation and dilution,articles/t441/raw_2115.txt,2950,3074,articles/t441/clean_2115.txt,2018,2103,yes,the open primary,0.0,16.0,-1.0,1.0
555,441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209693,CON,Open primary may dilute the vote of a particular party and lead to a nominee who does not represent the views of his particular party,may dilute the vote of a particular party and lead to a nominee who does not represent the views of his particular party,articles/t441/raw_2115.txt,3371,3491,articles/t441/clean_2115.txt,2398,2518,yes,Open primary,0.0,12.0,-1.0,1.0
556,441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209694,CON,the open primary is unconstitutional,the open primary is unconstitutional,articles/t441/raw_2115.txt,4581,4637,articles/t441/clean_2115.txt,3353,3389,yes,the open primary,0.0,16.0,-1.0,1.0
