method	iteration	ground_truth_k	guessed_k	abs_dist_k	relative_mi	purity
KModes_elbow	0	5	3	2	0.0039650102136914445	0.511
MANAclust	0	5	1	4	-2.4168660504097206e-16	1.0
KModes_elbow	1	5	3	2	0.002425605909243633	0.578
MANAclust	1	5	1	4	-3.7975160305501277e-16	1.0
KModes_elbow	2	5	3	2	0.0014210658883050053	0.581
MANAclust	2	5	1	4	-2.4162578670286154e-16	1.0
KModes_elbow	3	5	3	2	0.0024312670810549115	0.409
MANAclust	3	5	1	4	-2.4226662531474003e-16	1.0
KModes_elbow	4	5	3	2	0.001985020266176607	0.592
MANAclust	4	5	1	4	-2.415645293042683e-16	1.0
KModes_elbow	0	10	6	4	0.011015724901336536	0.497
MANAclust	0	10	10	0	1.0	1.0
KModes_elbow	1	10	9	1	0.014545501111126284	0.265
MANAclust	1	10	10	0	1.0	1.0
KModes_elbow	2	10	5	5	0.007464318244702561	0.573
MANAclust	2	10	10	0	1.0	1.0
KModes_elbow	3	10	7	3	0.011648710032310713	0.385
MANAclust	3	10	10	0	1.0	1.0
KModes_elbow	4	10	7	3	0.013536365709648746	0.358
MANAclust	4	10	10	0	1.0	1.0
KModes_elbow	0	15	12	3	0.027633214312718892	0.345
MANAclust	0	15	15	0	1.0	1.0
KModes_elbow	1	15	17	2	0.05705282886147565	0.313
MANAclust	1	15	15	0	1.0	1.0
KModes_elbow	2	15	8	7	0.02344242945889049	0.476
MANAclust	2	15	15	0	1.0	1.0
KModes_elbow	3	15	8	7	0.017756323966274502	0.504
MANAclust	3	15	15	0	1.0	1.0
KModes_elbow	4	15	5	10	0.010414771447532292	0.71
MANAclust	4	15	16	1	0.9999999999999999	0.958
KModes_elbow	0	20	13	7	0.03952055239930282	0.442
MANAclust	0	20	20	0	1.0	1.0
KModes_elbow	1	20	13	7	0.04425286499498999	0.437
MANAclust	1	20	23	3	1.0	0.923
KModes_elbow	2	20	14	6	0.04546677265330487	0.385
MANAclust	2	20	20	0	1.0	1.0
KModes_elbow	3	20	13	7	0.044896837762894846	0.442
MANAclust	3	20	21	1	1.0	0.976
KModes_elbow	4	20	12	8	0.037972560692975645	0.526
MANAclust	4	20	20	0	1.0	1.0
