topicId,split,topicText,topicTarget,topicSentiment,claims.claimId,claims.stance,claims.claimCorrectedText,claims.claimOriginalText,claims.article.rawFile,claims.article.rawSpan.start,claims.article.rawSpan.end,claims.article.cleanFile,claims.article.cleanSpan.start,claims.article.cleanSpan.end,claims.Compatible,claims.claimTarget.text,claims.claimTarget.span.start,claims.claimTarget.span.end,claims.claimSentiment,claims.targetsRelation
602,train,This house would fund education using a voucher scheme,fund education using a voucher scheme,1,232715,PRO,vouchers and other forms of publicly funded private school choice are necessary to give families an opportunity to enroll their children in more effective private schools,vouchers and other forms of publicly funded private school choice are necessary to give families an opportunity to enroll their children in more effective private schools,articles/t602/raw_1538.txt,5398,5568,articles/t602/clean_1538.txt,3913,4083,yes,vouchers and other forms of publicly funded private school choice,0.0,65.0,1.0,1.0
602,train,This house would fund education using a voucher scheme,fund education using a voucher scheme,1,235335,PRO,a voucher system for public education would make public schools compete with one another thus making them more accountable and efficient,a voucher system for public education would make public schools compete with one another thus making them more accountable and efficient,articles/t602/raw_1580.txt,1806,1946,articles/t602/clean_1580.txt,1248,1384,yes,a voucher system for public education,0.0,37.0,1.0,1.0
602,train,This house would fund education using a voucher scheme,fund education using a voucher scheme,1,235474,PRO,"by distributing vouchers to the families of students equal to the tuition that he/she would receive at his/her local public school, a student’s family could then choose from options where best to send their child","by distributing vouchers to the families of students equal to the tuition that he/she would receive at his/her local public school, a student’s family could then choose from options where best to send their child",articles/t602/raw_1601.txt,2171,2402,articles/t602/clean_1601.txt,731,943,yes,distributing vouchers to the families of students equal to the tuition that he/she would receive at his/her local public school,3.0,130.0,1.0,1.0
602,train,This house would fund education using a voucher scheme,fund education using a voucher scheme,1,236653,CON,public education would be destroyed by tuition vouchers,public education would be destroyed by tuition vouchers,articles/t602/raw_1586.txt,15594,15649,articles/t602/clean_1586.txt,10123,10178,yes,tuition vouchers,39.0,55.0,-1.0,1.0
602,train,This house would fund education using a voucher scheme,fund education using a voucher scheme,1,236654,CON,the tuition voucher proposal would undermine public education,the tuition voucher proposal would undermine public education,articles/t602/raw_1586.txt,37647,37708,articles/t602/clean_1586.txt,26633,26694,yes,the tuition voucher proposal,0.0,28.0,-1.0,1.0
602,train,This house would fund education using a voucher scheme,fund education using a voucher scheme,1,236674,PRO,competition among schools will increase both the quality and the economic efficiency of public education,competition among schools will increase both the quality and the economic efficiency of public education,articles/t602/raw_1590.txt,7026,7130,articles/t602/clean_1590.txt,3460,3564,yes,competition among schools,0.0,25.0,1.0,1.0
602,train,This house would fund education using a voucher scheme,fund education using a voucher scheme,1,236675,CON,Vouchers function to increase racial and economic discrimination in schools,vouchers have functioned to increase racial and economic discrimination in schools,articles/t602/raw_1590.txt,7720,7802,articles/t602/clean_1590.txt,3923,4005,yes,Vouchers,0.0,8.0,-1.0,1.0
602,train,This house would fund education using a voucher scheme,fund education using a voucher scheme,1,236676,CON,"since approximately four out of five US private schools are religious, voucher and charter systems violate the Constitution","since approximately four out of five US private schools are religious, voucher and charter systems violate the Constitution",articles/t602/raw_1590.txt,8005,8174,articles/t602/clean_1590.txt,4113,4236,yes,voucher and charter systems,71.0,98.0,-1.0,1.0
602,train,This house would fund education using a voucher scheme,fund education using a voucher scheme,1,236678,PRO,"a ""competitive education market"" would lead to ""innovation and improvement","a ""competitive education market"" would lead to ""innovation and improvement",articles/t602/raw_1591.txt,22291,22365,articles/t602/clean_1591.txt,10709,10783,yes,"a ""competitive education market",0.0,31.0,1.0,1.0
602,train,This house would fund education using a voucher scheme,fund education using a voucher scheme,1,236864,CON,allowing families the option of both public and private schools undermines the public education system,allowing families the option of both public and private schools undermines the public education system,articles/t602/raw_1537.txt,922,1024,articles/t602/clean_1537.txt,891,993,yes,allowing families the option of both public and private schools,0.0,63.0,-1.0,1.0
