well      sample name         year                specimen_ID         barcode             
A1        PB1                 NaN                 NaN                 NaN                 
A2        EC1                 NaN                 NaN                 NaN                 
A3        S1                  1989                538                 21002939            
A4        S2                  1989                539                 55862974            
A5        S3                  1987                83                  55683128            
A6        S4                  1987                84                  8064271             
A7        S5                  1988                18                  86305297            
A8        S6                  1988                19                  57091723            
A9        S7                  1997                1007                62687201            
A10       S8                  1997                1008                5423439             
A11       S9                  1983                727                 47176249            
A12       S10                 1983                728                 37540500            
B1        S11                 2004                329                 23131569            
B2        PO1                 NaN                 NaN                 NaN                 
B3        EC2                 NaN                 NaN                 NaN                 
B4        S12                 2004                330                 39887399            
B5        S13                 1988                674                 59049579            
B6        S14                 1988                675                 60265678            
B7        S15                 2002                190                 36400089            
B8        S16                 2002                191                 45254291            
B9        S17                 2001                599                 66765899            
B10       S18                 2001                600                 11506362            
B11       S19                 1990                462                 95208879            
B12       S20                 1990                463                 12574117            
C1        S21                 1986                261                 10641026            
C2        S22                 1986                262                 67711659            
C3        PB2                 NaN                 NaN                 NaN                 
C4        EC3                 NaN                 NaN                 NaN                 
C5        S23                 1996                71                  6279615             
C6        S24                 1996                72                  99843199            
C7        S25                 2006                682                 41865293            
C8        S26                 2006                683                 78570733            
C9        S27                 1992                330                 42657729            
C10       S28                 1992                331                 26024042            
C11       S29                 1998                38                  80843511            
C12       S30                 1998                39                  54903982            
D1        S31                 2006                70                  39494276            
D2        S32                 2006                71                  95565262            
D3        S33                 2002                167                 56940688            
D4        PO2                 NaN                 NaN                 NaN                 
D5        EC4                 NaN                 NaN                 NaN                 
D6        S34                 2002                168                 45071676            
D7        S35                 1986                722                 65442913            
D8        S36                 1986                723                 61365360            
D9        S37                 1983                563                 19091266            
D10       S38                 1983                564                 45951039            
D11       S39                 2000                971                 48844567            
D12       S40                 2000                972                 25272246            
E1        S41                 2008                754                 36346493            
E2        S42                 2008                755                 49420029            
E3        S43                 1983                325                 32909555            
E4        S44                 1983                326                 82622589            
E5        PB3                 NaN                 NaN                 NaN                 
E6        EC5                 NaN                 NaN                 NaN                 
E7        S45                 2001                531                 84629937            
E8        S46                 2001                532                 24276016            
E9        S47                 1995                1017                94322842            
E10       S48                 1995                1018                48421393            
E11       S49                 1996                296                 94387940            
E12       S50                 1996                297                 66861997            
F1        S51                 2007                274                 40486987            
F2        S52                 2007                275                 92086463            
F3        S53                 2007                537                 39395702            
F4        S54                 2007                538                 10228098            
F5        S55                 1992                135                 41540060            
F6        PO3                 NaN                 NaN                 NaN                 
F7        EC6                 NaN                 NaN                 NaN                 
F8        S56                 1992                136                 75901318            
F9        S57                 1988                324                 67998739            
F10       S58                 1988                325                 78979079            
F11       S59                 2006                593                 52744211            
F12       S60                 2006                594                 18548891            
G1        S61                 1986                526                 24389518            
G2        S62                 1986                527                 64219523            
G3        S63                 1987                992                 79737210            
G4        S64                 1987                993                 68110260            
G5        S65                 1984                958                 37750862            
G6        S66                 1984                959                 11325819            
G7        PB4                 NaN                 NaN                 NaN                 
G8        EC7                 NaN                 NaN                 NaN                 
G9        S67                 1982                434                 99304331            
G10       S68                 1982                435                 45054075            
G11       S69                 2001                282                 79217408            
G12       S70                 2001                283                 63125023            
H1        S71                 1987                307                 54468214            
H2        S72                 1987                308                 56294767            
H3        S73                 1982                430                 6185114             
H4        S74                 1982                431                 81842711            
H5        S75                 1990                710                 67597987            
H6        S76                 1991                711                 87183245            
H7        S77                 2005                621                 19235769            
H8        PO4                 NaN                 NaN                 NaN                 
H9        EC8                 NaN                 NaN                 NaN                 
H10       S78                 2005                622                 43853465            
H11       S79                 1986                526                 99106546            
H12       S80                 1986                527                 76996306            
