well      sample name         year                specimen_ID         barcode             
A1        PB1                 NaN                 NaN                 NaN                 
A2        EC1                 NaN                 NaN                 NaN                 
A3        S1                  1990                244                 5882137             
A4        S2                  1990                245                 34418444            
A5        S3                  2005                683                 55429085            
A6        S4                  2005                684                 30561274            
A7        S5                  2005                715                 63646634            
A8        S6                  2005                716                 45080555            
A9        S7                  1984                701                 3550892             
A10       S8                  1984                702                 45311192            
A11       S9                  2003                706                 83312809            
A12       S10                 2003                707                 2025520             
B1        S11                 2005                162                 30373983            
B2        PO1                 NaN                 NaN                 NaN                 
B3        EC2                 NaN                 NaN                 NaN                 
B4        S12                 2005                163                 55122627            
B5        S13                 1996                788                 59918912            
B6        S14                 1996                789                 81406944            
B7        S15                 2004                368                 95860817            
B8        S16                 2004                369                 34215982            
B9        S17                 1985                1011                90903625            
B10       S18                 1985                1012                23775800            
B11       S19                 2003                933                 32712537            
B12       S20                 2003                934                 29800728            
C1        S21                 1985                872                 1449617             
C2        S22                 1985                873                 6406653             
C3        PB2                 NaN                 NaN                 NaN                 
C4        EC3                 NaN                 NaN                 NaN                 
C5        S23                 1986                82                  44356934            
C6        S24                 1986                83                  91328168            
C7        S25                 1982                858                 9756212             
C8        S26                 1982                859                 13129156            
C9        S27                 1988                261                 45595707            
C10       S28                 1988                262                 68403560            
C11       S29                 2005                660                 94923162            
C12       S30                 2005                661                 949354              
D1        S31                 1992                243                 18939163            
D2        S32                 1992                244                 23533769            
D3        S33                 1982                134                 94113754            
D4        PO2                 NaN                 NaN                 NaN                 
D5        EC4                 NaN                 NaN                 NaN                 
D6        S34                 1982                135                 56653366            
D7        S35                 1996                231                 57867298            
D8        S36                 1996                232                 80217893            
D9        S37                 1995                67                  92675636            
D10       S38                 1995                68                  49121056            
D11       S39                 1989                444                 50558872            
D12       S40                 1989                445                 20092740            
E1        S41                 1983                942                 98385683            
E2        S42                 1983                943                 63617184            
E3        S43                 1999                437                 99362157            
E4        S44                 1999                438                 43967032            
E5        PB3                 NaN                 NaN                 NaN                 
E6        EC5                 NaN                 NaN                 NaN                 
E7        S45                 2005                349                 96885437            
E8        S46                 2005                350                 41960561            
E9        S47                 2006                81                  89302613            
E10       S48                 2006                82                  21822803            
E11       S49                 1984                501                 39913500            
E12       S50                 1984                502                 2309552             
F1        S51                 2007                237                 50960064            
F2        S52                 2007                238                 52169878            
F3        S53                 1987                758                 22125941            
F4        S54                 1987                759                 7886966             
F5        S55                 1986                149                 41837207            
F6        PO3                 NaN                 NaN                 NaN                 
F7        EC6                 NaN                 NaN                 NaN                 
F8        S56                 1986                150                 2582238             
F9        S57                 1990                611                 12415113            
F10       S58                 1990                612                 89290330            
F11       S59                 1997                43                  49968293            
F12       S60                 1997                44                  35002543            
G1        S61                 2004                415                 33926827            
G2        S62                 2004                416                 91701985            
G3        S63                 1993                834                 16974791            
G4        S64                 1993                835                 69419324            
G5        S65                 1995                300                 62080378            
G6        S66                 1995                301                 84462831            
G7        PB4                 NaN                 NaN                 NaN                 
G8        EC7                 NaN                 NaN                 NaN                 
G9        S67                 1986                30                  17891493            
G10       S68                 1986                31                  64721620            
G11       S69                 2006                807                 20992712            
G12       S70                 2006                808                 31232203            
H1        S71                 1987                468                 58616512            
H2        S72                 1987                469                 69755040            
H3        S73                 2005                467                 89280478            
H4        S74                 2005                468                 42532422            
H5        S75                 1987                1036                43950560            
H6        S76                 1987                1037                95139807            
H7        S77                 1984                65                  61323391            
H8        PO4                 NaN                 NaN                 NaN                 
H9        EC8                 NaN                 NaN                 NaN                 
H10       S78                 1984                66                  19166476            
H11       S79                 2007                1022                48507400            
H12       S80                 2007                1023                33368115            
