well      sample name         year                specimen_ID         barcode             
A1        PB1                 NaN                 NaN                 NaN                 
A2        EC1                 NaN                 NaN                 NaN                 
A3        S1                  1995                884                 36639373            
A4        S2                  1995                885                 44897765            
A5        S3                  2002                40                  89573518            
A6        S4                  2002                41                  74792740            
A7        S5                  1990                821                 2537603             
A8        S6                  1990                822                 7529023             
A9        S7                  2007                101                 83805585            
A10       S8                  2007                102                 5836772             
A11       S9                  2003                465                 51258702            
A12       S10                 2003                466                 25690309            
B1        S11                 2006                521                 90294280            
B2        PO1                 NaN                 NaN                 NaN                 
B3        EC2                 NaN                 NaN                 NaN                 
B4        S12                 2006                522                 17297264            
B5        S13                 1985                565                 34318508            
B6        S14                 1985                566                 81257508            
B7        S15                 2001                151                 43007431            
B8        S16                 2001                152                 90311468            
B9        S17                 1988                502                 85161610            
B10       S18                 1988                503                 71754031            
B11       S19                 1984                380                 71381565            
B12       S20                 1984                381                 88559377            
C1        S21                 1988                752                 84469663            
C2        S22                 1988                753                 13927769            
C3        PB2                 NaN                 NaN                 NaN                 
C4        EC3                 NaN                 NaN                 NaN                 
C5        S23                 2001                284                 15700667            
C6        S24                 2001                285                 19331232            
C7        S25                 1994                479                 5250554             
C8        S26                 1994                480                 69116032            
C9        S27                 1989                720                 82052294            
C10       S28                 1989                721                 30583689            
C11       S29                 1998                522                 12247110            
C12       S30                 1998                523                 70881226            
D1        S31                 1990                852                 49462012            
D2        S32                 1990                853                 4466                
D3        S33                 1987                416                 53997838            
D4        PO2                 NaN                 NaN                 NaN                 
D5        EC4                 NaN                 NaN                 NaN                 
D6        S34                 1987                417                 24664233            
D7        S35                 1985                445                 23382251            
D8        S36                 1985                446                 96938959            
D9        S37                 2002                547                 42123569            
D10       S38                 2002                548                 49306682            
D11       S39                 2000                929                 91936233            
D12       S40                 2000                930                 74642267            
E1        S41                 1998                412                 35589785            
E2        S42                 1998                413                 71624259            
E3        S43                 2001                532                 33241173            
E4        S44                 2001                533                 38284663            
E5        PB3                 NaN                 NaN                 NaN                 
E6        EC5                 NaN                 NaN                 NaN                 
E7        S45                 2000                374                 7173905             
E8        S46                 2000                375                 63582536            
E9        S47                 1992                652                 91554871            
E10       S48                 1992                653                 60725615            
E11       S49                 1982                177                 70738704            
E12       S50                 1982                178                 12702732            
F1        S51                 2007                492                 47079861            
F2        S52                 2007                493                 87615456            
F3        S53                 1988                430                 69434983            
F4        S54                 1988                431                 46957030            
F5        S55                 2000                253                 56525311            
F6        PO3                 NaN                 NaN                 NaN                 
F7        EC6                 NaN                 NaN                 NaN                 
F8        S56                 2000                254                 44709211            
F9        S57                 1995                827                 54595828            
F10       S58                 1995                828                 35259442            
F11       S59                 1997                866                 54133549            
F12       S60                 1997                867                 4735151             
G1        S61                 2002                934                 79038997            
G2        S62                 2002                935                 59137665            
G3        S63                 2002                934                 46218506            
G4        S64                 2002                935                 34970300            
G5        S65                 2002                138                 68652937            
G6        S66                 2002                139                 44425968            
G7        PB4                 NaN                 NaN                 NaN                 
G8        EC7                 NaN                 NaN                 NaN                 
G9        S67                 1985                556                 14125973            
G10       S68                 1985                557                 98259298            
G11       S69                 1984                227                 96193617            
G12       S70                 1984                228                 58409138            
H1        S71                 1995                61                  20879518            
H2        S72                 1995                62                  64088549            
H3        S73                 1999                705                 37341770            
H4        S74                 1999                706                 80075257            
H5        S75                 1987                434                 81084524            
H6        S76                 1987                435                 62805759            
H7        S77                 1990                1021                15437419            
H8        PO4                 NaN                 NaN                 NaN                 
H9        EC8                 NaN                 NaN                 NaN                 
H10       S78                 1990                1022                53735409            
H11       S79                 1997                711                 10831397            
H12       S80                 1997                712                 34425626            
