well      sample name         year                specimen_ID         barcode             
A1        PB1                 NaN                 NaN                 NaN                 
A2        EC1                 NaN                 NaN                 NaN                 
A3        S1                  1987                593                 58003398            
A4        S2                  1987                594                 43587377            
A5        S3                  2005                411                 80570844            
A6        S4                  2005                412                 10961735            
A7        S5                  1989                685                 49387940            
A8        S6                  1989                686                 63980530            
A9        S7                  1999                696                 88388809            
A10       S8                  1999                697                 81831364            
A11       S9                  1992                907                 52743115            
A12       S10                 1992                908                 6262907             
B1        S11                 1986                65                  79595643            
B2        PO1                 NaN                 NaN                 NaN                 
B3        EC2                 NaN                 NaN                 NaN                 
B4        S12                 1986                66                  24019316            
B5        S13                 1996                219                 93556019            
B6        S14                 1996                220                 19703756            
B7        S15                 2000                316                 50271658            
B8        S16                 2000                317                 37347949            
B9        S17                 2004                792                 94621266            
B10       S18                 2004                793                 79720533            
B11       S19                 1998                489                 96728178            
B12       S20                 1998                490                 27563427            
C1        S21                 1992                330                 10907788            
C2        S22                 1992                331                 95820545            
C3        PB2                 NaN                 NaN                 NaN                 
C4        EC3                 NaN                 NaN                 NaN                 
C5        S23                 1989                681                 9350533             
C6        S24                 1989                682                 50066421            
C7        S25                 1996                475                 77899835            
C8        S26                 1996                476                 38248047            
C9        S27                 1990                545                 97486626            
C10       S28                 1990                546                 6578626             
C11       S29                 1983                650                 99047634            
C12       S30                 1983                651                 58478356            
D1        S31                 1993                156                 34717950            
D2        S32                 1993                157                 17221146            
D3        S33                 1995                804                 75242848            
D4        PO2                 NaN                 NaN                 NaN                 
D5        EC4                 NaN                 NaN                 NaN                 
D6        S34                 1995                805                 98697069            
D7        S35                 1988                809                 61081093            
D8        S36                 1988                810                 96114957            
D9        S37                 2003                797                 89129364            
D10       S38                 2003                798                 72490068            
D11       S39                 1995                100                 55866323            
D12       S40                 1995                101                 73596813            
E1        S41                 1990                552                 54305236            
E2        S42                 1990                553                 60496119            
E3        S43                 1998                1043                44198114            
E4        S44                 1998                1044                43381395            
E5        PB3                 NaN                 NaN                 NaN                 
E6        EC5                 NaN                 NaN                 NaN                 
E7        S45                 2006                32                  48300452            
E8        S46                 2006                33                  78850989            
E9        S47                 2002                255                 99809614            
E10       S48                 2002                256                 45015939            
E11       S49                 1997                284                 40874890            
E12       S50                 1997                285                 23573154            
F1        S51                 1983                1044                67756575            
F2        S52                 1983                1045                95618876            
F3        S53                 1991                516                 23363670            
F4        S54                 1991                517                 98290901            
F5        S55                 1984                386                 12335992            
F6        PO3                 NaN                 NaN                 NaN                 
F7        EC6                 NaN                 NaN                 NaN                 
F8        S56                 1984                387                 79086035            
F9        S57                 2005                675                 504126              
F10       S58                 2005                676                 29312474            
F11       S59                 1993                85                  55032513            
F12       S60                 1993                86                  20796815            
G1        S61                 1990                172                 79900331            
G2        S62                 1990                173                 38337093            
G3        S63                 1995                381                 39776556            
G4        S64                 1995                382                 11693871            
G5        S65                 1993                121                 10373170            
G6        S66                 1993                122                 56421835            
G7        PB4                 NaN                 NaN                 NaN                 
G8        EC7                 NaN                 NaN                 NaN                 
G9        S67                 1990                695                 33746418            
G10       S68                 1990                696                 47839052            
G11       S69                 1990                995                 75594275            
G12       S70                 1990                996                 39298928            
H1        S71                 1984                1003                65629178            
H2        S72                 1984                1004                28778547            
H3        S73                 2005                91                  18843026            
H4        S74                 2005                92                  11784364            
H5        S75                 1990                151                 99289553            
H6        S76                 1990                152                 6354596             
H7        S77                 1993                533                 17389006            
H8        PO4                 NaN                 NaN                 NaN                 
H9        EC8                 NaN                 NaN                 NaN                 
H10       S78                 1993                534                 84546555            
H11       S79                 1987                361                 47103801            
H12       S80                 1987                362                 71874609            
