well      sample name         year                specimen_ID         barcode             
A1        PB1                 NaN                 NaN                 NaN                 
A2        EC1                 NaN                 NaN                 NaN                 
A3        S1                  2001                1030                54683518            
A4        S2                  2001                1031                58471692            
A5        S3                  1983                741                 78851948            
A6        S4                  1983                742                 96173114            
A7        S5                  2004                675                 84721341            
A8        S6                  2004                676                 28087656            
A9        S7                  1989                554                 96370377            
A10       S8                  1989                555                 35797180            
A11       S9                  1990                747                 59486572            
A12       S10                 1990                748                 8990228             
B1        S11                 1990                164                 10074589            
B2        PO1                 NaN                 NaN                 NaN                 
B3        EC2                 NaN                 NaN                 NaN                 
B4        S12                 1990                165                 92177192            
B5        S13                 1993                1017                73611400            
B6        S14                 1993                1018                15933331            
B7        S15                 1984                831                 5212286             
B8        S16                 1984                832                 49888645            
B9        S17                 1988                435                 16646070            
B10       S18                 1988                436                 94372489            
B11       S19                 2000                675                 13082178            
B12       S20                 2000                676                 22552952            
C1        S21                 1988                37                  75883423            
C2        S22                 1988                38                  7322488             
C3        PB2                 NaN                 NaN                 NaN                 
C4        EC3                 NaN                 NaN                 NaN                 
C5        S23                 1992                880                 71493398            
C6        S24                 1992                881                 54374980            
C7        S25                 1998                492                 26469041            
C8        S26                 1998                493                 51391270            
C9        S27                 1992                529                 22283733            
C10       S28                 1992                530                 68648763            
C11       S29                 1984                501                 13299989            
C12       S30                 1984                502                 66434436            
D1        S31                 1994                127                 17752428            
D2        S32                 1994                128                 11430117            
D3        S33                 1997                438                 8699787             
D4        PO2                 NaN                 NaN                 NaN                 
D5        EC4                 NaN                 NaN                 NaN                 
D6        S34                 1997                439                 73309048            
D7        S35                 2008                455                 97807735            
D8        S36                 2008                456                 92397620            
D9        S37                 1991                529                 96989395            
D10       S38                 1991                530                 82548179            
D11       S39                 1988                101                 51367473            
D12       S40                 1988                102                 48344739            
E1        S41                 1991                985                 79319591            
E2        S42                 1991                986                 58204467            
E3        S43                 1982                138                 77326348            
E4        S44                 1982                139                 23882119            
E5        PB3                 NaN                 NaN                 NaN                 
E6        EC5                 NaN                 NaN                 NaN                 
E7        S45                 1994                900                 50609949            
E8        S46                 1994                901                 72985922            
E9        S47                 2005                964                 55402224            
E10       S48                 2005                965                 30564770            
E11       S49                 1991                228                 85839731            
E12       S50                 1991                229                 51489519            
F1        S51                 1993                916                 827546              
F2        S52                 1993                917                 65871720            
F3        S53                 1993                839                 63433586            
F4        S54                 1993                840                 15895370            
F5        S55                 2005                573                 67232109            
F6        PO3                 NaN                 NaN                 NaN                 
F7        EC6                 NaN                 NaN                 NaN                 
F8        S56                 2005                574                 70686487            
F9        S57                 2004                704                 58011942            
F10       S58                 2004                705                 31170031            
F11       S59                 2000                679                 11762744            
F12       S60                 2000                680                 11210351            
G1        S61                 1991                112                 28410553            
G2        S62                 1991                113                 38940293            
G3        S63                 1983                624                 98862498            
G4        S64                 1983                625                 88629254            
G5        S65                 2000                51                  7703140             
G6        S66                 2000                52                  1595635             
G7        PB4                 NaN                 NaN                 NaN                 
G8        EC7                 NaN                 NaN                 NaN                 
G9        S67                 1982                204                 20209698            
G10       S68                 1982                205                 36866915            
G11       S69                 1995                283                 39954848            
G12       S70                 1995                284                 95868455            
H1        S71                 1989                273                 85153493            
H2        S72                 1989                274                 27589267            
H3        S73                 2008                834                 47082144            
H4        S74                 2008                835                 44773212            
H5        S75                 1985                826                 76788314            
H6        S76                 1985                827                 70555981            
H7        S77                 1984                491                 8492784             
H8        PO4                 NaN                 NaN                 NaN                 
H9        EC8                 NaN                 NaN                 NaN                 
H10       S78                 1984                492                 75603304            
H11       S79                 2001                547                 26881423            
H12       S80                 2001                548                 25245653            
