well      sample name         year                specimen_ID         barcode             
A1        PB1                 NaN                 NaN                 NaN                 
A2        EC1                 NaN                 NaN                 NaN                 
A3        S1                  1988                789                 23534360            
A4        S2                  1988                790                 82509163            
A5        S3                  1996                536                 84560865            
A6        S4                  1996                537                 78727953            
A7        S5                  2004                563                 54955707            
A8        S6                  2004                564                 83362354            
A9        S7                  2000                804                 25832112            
A10       S8                  2000                805                 92457188            
A11       S9                  2006                586                 4973737             
A12       S10                 2006                587                 47245938            
B1        S11                 1997                727                 74502943            
B2        PO1                 NaN                 NaN                 NaN                 
B3        EC2                 NaN                 NaN                 NaN                 
B4        S12                 1997                728                 29383580            
B5        S13                 1996                538                 80301455            
B6        S14                 1996                539                 86475235            
B7        S15                 1991                861                 68680671            
B8        S16                 1991                862                 54040311            
B9        S17                 1993                879                 56149326            
B10       S18                 1993                880                 73424215            
B11       S19                 2005                999                 14193835            
B12       S20                 2005                1000                17119443            
C1        S21                 2000                733                 89025710            
C2        S22                 2000                734                 74717330            
C3        PB2                 NaN                 NaN                 NaN                 
C4        EC3                 NaN                 NaN                 NaN                 
C5        S23                 1993                340                 93282635            
C6        S24                 1993                341                 72802915            
C7        S25                 1990                696                 37320461            
C8        S26                 1990                697                 81326556            
C9        S27                 1983                108                 67395811            
C10       S28                 1983                109                 35435297            
C11       S29                 2001                335                 8782281             
C12       S30                 2001                336                 67424566            
D1        S31                 2002                777                 26422091            
D2        S32                 2002                778                 79920001            
D3        S33                 2004                11                  69484124            
D4        PO2                 NaN                 NaN                 NaN                 
D5        EC4                 NaN                 NaN                 NaN                 
D6        S34                 2004                12                  86959001            
D7        S35                 1987                745                 62502894            
D8        S36                 1987                746                 15425713            
D9        S37                 1983                638                 78353732            
D10       S38                 1983                639                 60503220            
D11       S39                 1999                752                 59698951            
D12       S40                 1999                753                 12809721            
E1        S41                 2006                995                 61130982            
E2        S42                 2006                996                 33375632            
E3        S43                 1982                302                 23602465            
E4        S44                 1982                303                 83811043            
E5        PB3                 NaN                 NaN                 NaN                 
E6        EC5                 NaN                 NaN                 NaN                 
E7        S45                 2004                572                 82300289            
E8        S46                 2004                573                 96925423            
E9        S47                 1995                196                 76553196            
E10       S48                 1995                197                 60776266            
E11       S49                 1984                814                 51850838            
E12       S50                 1984                815                 97865766            
F1        S51                 2006                245                 30656017            
F2        S52                 2006                246                 79150255            
F3        S53                 2006                87                  93833127            
F4        S54                 2006                88                  20938178            
F5        S55                 1986                77                  22336453            
F6        PO3                 NaN                 NaN                 NaN                 
F7        EC6                 NaN                 NaN                 NaN                 
F8        S56                 1986                78                  96786437            
F9        S57                 1987                533                 5803576             
F10       S58                 1987                534                 62927826            
F11       S59                 1991                890                 37648626            
F12       S60                 1991                891                 81548576            
G1        S61                 1999                713                 44369903            
G2        S62                 1999                714                 93524254            
G3        S63                 1990                862                 89507988            
G4        S64                 1990                863                 85890923            
G5        S65                 1984                803                 2369242             
G6        S66                 1984                804                 86446419            
G7        PB4                 NaN                 NaN                 NaN                 
G8        EC7                 NaN                 NaN                 NaN                 
G9        S67                 1999                660                 35256922            
G10       S68                 1999                661                 27116432            
G11       S69                 1983                299                 41674031            
G12       S70                 1983                300                 41582930            
H1        S71                 1995                1000                37863487            
H2        S72                 1995                1001                35054016            
H3        S73                 1993                769                 86089166            
H4        S74                 1993                770                 6998172             
H5        S75                 1996                41                  30485648            
H6        S76                 1996                42                  63429121            
H7        S77                 1987                660                 42560890            
H8        PO4                 NaN                 NaN                 NaN                 
H9        EC8                 NaN                 NaN                 NaN                 
H10       S78                 1987                661                 78579613            
H11       S79                 1986                607                 49379273            
H12       S80                 1986                608                 49934137            
