well      sample name         year                specimen_ID         barcode             
A1        PB1                 NaN                 NaN                 NaN                 
A2        EC1                 NaN                 NaN                 NaN                 
A3        S1                  1997                879                 66549451            
A4        S2                  1997                880                 85370951            
A5        S3                  1999                345                 18922608            
A6        S4                  1999                346                 21338748            
A7        S5                  1995                801                 79659888            
A8        S6                  1995                802                 29569625            
A9        S7                  2000                390                 44478001            
A10       S8                  2000                391                 84948861            
A11       S9                  1987                346                 50521647            
A12       S10                 1987                347                 16272224            
B1        S11                 1996                14                  63841411            
B2        PO1                 NaN                 NaN                 NaN                 
B3        EC2                 NaN                 NaN                 NaN                 
B4        S12                 1996                15                  5240678             
B5        S13                 2004                523                 17783163            
B6        S14                 2004                524                 476355              
B7        S15                 2006                958                 28735885            
B8        S16                 2006                959                 69221651            
B9        S17                 1994                214                 29287451            
B10       S18                 1994                215                 11751700            
B11       S19                 1991                3                   64860831            
B12       S20                 1991                4                   27832165            
C1        S21                 2005                842                 69608438            
C2        S22                 2005                843                 50038480            
C3        PB2                 NaN                 NaN                 NaN                 
C4        EC3                 NaN                 NaN                 NaN                 
C5        S23                 1999                486                 97262695            
C6        S24                 1999                487                 73848622            
C7        S25                 2000                950                 7268250             
C8        S26                 2000                951                 72747094            
C9        S27                 1987                770                 14903694            
C10       S28                 1987                771                 1149548             
C11       S29                 1992                170                 88513157            
C12       S30                 1992                171                 64957845            
D1        S31                 2002                415                 26004785            
D2        S32                 2002                416                 75039110            
D3        S33                 1998                422                 77497734            
D4        PO2                 NaN                 NaN                 NaN                 
D5        EC4                 NaN                 NaN                 NaN                 
D6        S34                 1998                423                 53421081            
D7        S35                 1989                176                 93743488            
D8        S36                 1989                177                 5493197             
D9        S37                 1989                77                  97328704            
D10       S38                 1989                78                  59396635            
D11       S39                 1998                581                 42208               
D12       S40                 1998                582                 97467014            
E1        S41                 2002                684                 74735105            
E2        S42                 2002                685                 77246080            
E3        S43                 1999                355                 37963651            
E4        S44                 1999                356                 78671386            
E5        PB3                 NaN                 NaN                 NaN                 
E6        EC5                 NaN                 NaN                 NaN                 
E7        S45                 1993                502                 88142821            
E8        S46                 1993                503                 14918988            
E9        S47                 1993                380                 70194364            
E10       S48                 1993                381                 88715735            
E11       S49                 1991                112                 64670768            
E12       S50                 1991                113                 98838783            
F1        S51                 2003                509                 97749943            
F2        S52                 2003                510                 97103035            
F3        S53                 2007                470                 58268346            
F4        S54                 2007                471                 61074675            
F5        S55                 2005                972                 57247281            
F6        PO3                 NaN                 NaN                 NaN                 
F7        EC6                 NaN                 NaN                 NaN                 
F8        S56                 2005                973                 87179156            
F9        S57                 1990                916                 79870184            
F10       S58                 1990                917                 60835413            
F11       S59                 1985                86                  9948075             
F12       S60                 1985                87                  64650982            
G1        S61                 2003                896                 24545280            
G2        S62                 2003                897                 43075294            
G3        S63                 1994                835                 700481              
G4        S64                 1994                836                 1373585             
G5        S65                 1989                718                 42154655            
G6        S66                 1989                719                 81027347            
G7        PB4                 NaN                 NaN                 NaN                 
G8        EC7                 NaN                 NaN                 NaN                 
G9        S67                 1992                284                 3075449             
G10       S68                 1992                285                 54578142            
G11       S69                 1998                743                 3088234             
G12       S70                 1998                744                 57371023            
H1        S71                 1989                271                 11196396            
H2        S72                 1989                272                 39657336            
H3        S73                 1995                175                 42619291            
H4        S74                 1995                176                 8609717             
H5        S75                 1991                799                 45291838            
H6        S76                 1991                800                 11266372            
H7        S77                 1986                63                  52790133            
H8        PO4                 NaN                 NaN                 NaN                 
H9        EC8                 NaN                 NaN                 NaN                 
H10       S78                 1986                64                  11080169            
H11       S79                 2005                373                 61499065            
H12       S80                 2005                374                 18494365            
