well      sample name         year                specimen_ID         barcode             
A1        PB1                 NaN                 NaN                 NaN                 
A2        EC1                 NaN                 NaN                 NaN                 
A3        S1                  1991                420                 37569037            
A4        S2                  1991                421                 98661367            
A5        S3                  1998                359                 31737869            
A6        S4                  1998                360                 29698684            
A7        S5                  2005                17                  43029051            
A8        S6                  2005                18                  39113665            
A9        S7                  1993                465                 57035901            
A10       S8                  1993                466                 32834826            
A11       S9                  1994                429                 40565637            
A12       S10                 1994                430                 88989679            
B1        S11                 2000                435                 50420810            
B2        PO1                 NaN                 NaN                 NaN                 
B3        EC2                 NaN                 NaN                 NaN                 
B4        S12                 2000                436                 97243335            
B5        S13                 2001                186                 2531359             
B6        S14                 2001                187                 85899605            
B7        S15                 1983                690                 29509423            
B8        S16                 1983                691                 22378439            
B9        S17                 1999                27                  37446857            
B10       S18                 1999                28                  65473290            
B11       S19                 1988                50                  79843539            
B12       S20                 1988                51                  98972623            
C1        S21                 2005                739                 31685375            
C2        S22                 2005                740                 57442662            
C3        PB2                 NaN                 NaN                 NaN                 
C4        EC3                 NaN                 NaN                 NaN                 
C5        S23                 2008                610                 55473613            
C6        S24                 2008                611                 41413920            
C7        S25                 1985                918                 30521704            
C8        S26                 1985                919                 25742602            
C9        S27                 1983                725                 78479500            
C10       S28                 1983                726                 35426592            
C11       S29                 1985                227                 21166389            
C12       S30                 1985                228                 78812772            
D1        S31                 1999                14                  25425222            
D2        S32                 1999                15                  55597050            
D3        S33                 1994                556                 36902026            
D4        PO2                 NaN                 NaN                 NaN                 
D5        EC4                 NaN                 NaN                 NaN                 
D6        S34                 1994                557                 31809382            
D7        S35                 1983                735                 65645598            
D8        S36                 1983                736                 66556558            
D9        S37                 1988                158                 34116272            
D10       S38                 1988                159                 76942594            
D11       S39                 2007                267                 10106402            
D12       S40                 2007                268                 28677147            
E1        S41                 1996                718                 63267778            
E2        S42                 1996                719                 6998110             
E3        S43                 1998                230                 64973173            
E4        S44                 1998                231                 77987983            
E5        PB3                 NaN                 NaN                 NaN                 
E6        EC5                 NaN                 NaN                 NaN                 
E7        S45                 1990                654                 89139530            
E8        S46                 1990                655                 84195715            
E9        S47                 1996                529                 24440431            
E10       S48                 1996                530                 56410075            
E11       S49                 2001                763                 70461831            
E12       S50                 2001                764                 66874522            
F1        S51                 1984                737                 68706258            
F2        S52                 1984                738                 79895040            
F3        S53                 2001                761                 37363499            
F4        S54                 2001                762                 86330718            
F5        S55                 2004                14                  68901387            
F6        PO3                 NaN                 NaN                 NaN                 
F7        EC6                 NaN                 NaN                 NaN                 
F8        S56                 2004                15                  67456710            
F9        S57                 2005                1018                67547173            
F10       S58                 2005                1019                53005755            
F11       S59                 1984                723                 36251483            
F12       S60                 1984                724                 77323057            
G1        S61                 1997                818                 78045859            
G2        S62                 1997                819                 69212109            
G3        S63                 1996                1007                6850159             
G4        S64                 1996                1008                75675479            
G5        S65                 1997                136                 49893458            
G6        S66                 1997                137                 66282600            
G7        PB4                 NaN                 NaN                 NaN                 
G8        EC7                 NaN                 NaN                 NaN                 
G9        S67                 2002                107                 14344770            
G10       S68                 2002                108                 35679455            
G11       S69                 1995                606                 74433087            
G12       S70                 1995                607                 85414532            
H1        S71                 1984                613                 52921001            
H2        S72                 1984                614                 95108643            
H3        S73                 2000                76                  32622737            
H4        S74                 2000                77                  66453239            
H5        S75                 2002                989                 32918410            
H6        S76                 2002                990                 19739007            
H7        S77                 1983                1041                69216237            
H8        PO4                 NaN                 NaN                 NaN                 
H9        EC8                 NaN                 NaN                 NaN                 
H10       S78                 1983                1042                55360616            
H11       S79                 2001                349                 16017887            
H12       S80                 2001                350                 679558              
